compound;comp_lemma;const_1_text;const_2_text;const_3_text;const_1_lemma;const_2_lemma;const_3_lemma;gold_branching;language;register;semRel1;semRel2
Nachuntersuchungszeitraum;_;Nachuntersuchungs;Zeit;Raum;Nachuntersuchung;Zeit;Raum;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Femurepiphysenfugen;_;Femur;epiphysen;fugen;Femur;Epiphyse;Fuge;AB;GER;scientific;semRel.MhasH;semRel:MhasH
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Nachuntersuchungszeitpunkt;_;Nachuntersuchungs;zeit;punkt;Nachuntersuchung;Zeit;Punkt;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Herdanbohrungsoperation;_;Herd;anbohrungs;operation;Herd;Anbohrungs;Operation;AB;GER;scientific;semRel:HlocationisM;semRel:HcausesM
Wachstumsfugenschluß;_;Wachstums;fugen;schluß;Wachstum;Fuge;Schluss;AB;GER;scientific;semRel:HduringM;semRel:HlocationisM
Sprunggelenkbeweglichkeit;_;Sprung;gelenk;beweglichkeit;Sprung;Gelenk;Beweglichkeit;AB;GER;scientific;semRel:HhasM;semRel:MhasH
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Impressionsspaltfrakturen;_;Impressions;spalt;frakturen;Impression;Spalt;Fraktur;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Tibiakopfosteosynthese;_;Tibia;kopf;osteosynthese;Tibia;Kopf;Osteosynthese;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Meniskusteilresektion;_;Meniskus;teil;resektion;Meniskus;Teil;Resektion;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Kreuzbandrupturen;_;Kreuz;band;rupturen;Kreuz;Band;Ruptur;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Tibiakopfosteosynthese;_;Tibia;kopf;osteosynthese;Tibia;Kopf;Osteosynthese;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Handgelenkarthroskopie;_;Hand;gelenk;arthroskopie;Hand;Gelenk;Arthroskopie;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Sesambeinpathologie;_;Sesam;bein;pathologie;Sesam;Bein;Pathologie;AB;GER;scientific;semRel:HderivedfromM;semRel:HlocationisM
Sprunggelenkdistorsion;_;Sprung;gelenk;distorsion;Sprung;Gelenk;Distorsion;AB;GER;scientific;semRel:HhasM;semRel:HlocationisM
Seitenbandverletzung;_;Seiten;band;verletzung;Seite;Band;Verletzung;AB;GER;scientific;semRel:HhasM;semRel:HlocationisM
Muskelkraftmessung;_;Muskel;kraft;messung;Muskel;Kraft;Messung;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Seitenbandrupturen;_;Seiten;band;rupturen;Seite;Band;Rupturen;AB;GER;scientific;semRel:HhasM;semRel:HlocationisM
Quadrizepskraftmessung;_;Quadrizeps;kraft;messung;Quadrizeps;Kraft;Messung;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Kreuzbandruptur;_;Kreuz;band;ruptur;Kreuz;Band;Ruptur;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Oberschenkelgipsverband;_;Oberschenkel;gips;verband;Oberschenkel;Gips;Verband;AB;GER;scientific;semRel:HforM;semRel:HderivedfromM
Kniegelenkersatz;_;Knie;gelenk;ersatz;Knie;Gelenk;Ersatz;AB;GER;scientific;semRel:MisH;semRel:MhasH
Kniegelenkarthroskopie;_;Knie;gelenk;arthroskopie;Knie;Gelenk;Arthroskopie;AB;GER;scientific;semRel:MisH;semRel:HlocationisM
Muskelkräftigungsprogramm;_;Muskel;kräftigungs;programm;Muskel;Kräftigung;Programm;AB;GER;scientific;semRel:HderivedfromM;semRel:MderivedfromH
Gelenkknorpeldefekten;_;Gelenk;knorpel;defekten;Gelenk;Knorpel;Defekt;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Knorpelzelltransplantaten;_;Knorpel;zell;transplantaten;Knorpel;Zell;Transplantat;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Knorpelzelltransplantate;_;Knorpel;zell;transplantate;Knorpel;Zell;Transplantate;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Wirbelsäulenschmerzen;_;Wirbel;säulen;schmerzen;Wirbel;Säule;Schmerz;AB;GER;scientific;semRel:HderivedfromM;semRel:HlocationisM
Lendenwirbelsäule;_;Lenden;wirbel;säule;Lende;Wirbel;Säule;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Wirbelsäulenoperateure;_;Wirbel;säulen;operateure;Wirbel;Säule;Operateur;AB;GER;scientific;semRel:HderivedfromM;semRel:HlocationisM
Wirbelsäulenchirurgen;_;Wirbel;säulen;chirurgen;Wirbel;Säule;Chirurg;AB;GER;scientific;semRel:HderivedfromM;semRel:HforM
Wirbelsäuleninstrumentation;_;Wirbel;säulen;instrumentation;Wirbel;Säule;Instrumentation;AB;GER;scientific;semRel:HderivedfromM;semRel:HlocationisM
Bindegewebsneubildung;_;Binde;gewebs;neubildung;Binde;Gewebe;Neubildung;AB;GER;scientific;semRel:MaboutH;semRel:HlocationisM
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Frakturen;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Kniegelenkempyemen;_;Knie;gelenk;empyemen;Knie;Gelenk;Empyem;AB;GER;scientific;semRel:MisH;semRel:HlocationisM
Kniegelenkempyeme;_;Knie;gelenk;empyeme;Knie;Gelenk;Empyem;AB;GER;scientific;semRel:MisH;semRel:HlocationisM
Pfannenrandbereich;_;Pfannen;rand;bereich;Pfanne;Rand;Bereich;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Schulterstabilisierungsoperationen;_;Schulter;stabilisierungs;operationen;Schulter;Stabilisierung;Operation;AB;GER;scientific;semRel:HlocationisM;semRel:HcausesM
Labrumsubstanzschäden;_;Labrum;substanz;schäden;Labrum;Substanz;Schaden;AB;GER;scientific;semRel:HfromM;semRel:HlocationisM
Rotatorenmanschetten;_;Rotatoren;manschetten;-;Rotator;Manschette;-;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Rotatorenmanschettendefekt;_;Rotatoren;manschetten;defekt;Rotatoren;Manschette;Defekt;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Risikosportarten;_;Risiko;sport;arten;Risiko;Sport;Art;AB;GER;scientific;semRel:HhasM;semRel:HaboutM
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific;semRel:HmakesM;semRel:MhasH
Beobachtungszeitraum;_;Beobachtungs;zeit;raum;Beobachtung;Zeit;Raum;AB;GER;scientific;semRel:MusesH;semRel:HmadeofM
Kunstbandgruppe;_;Kunst;band;gruppe;Kunst;Band;Gruppe;AB;GER;scientific;semRel:HisM;semRel:HhasM
Gesamtpunktzahl;_;Gesamt;punkt;zahl;Gesamt;Punkt;Zahl;AB;GER;scientific;semRel:MaboutH;semRel:HderivedfromM
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific;semRel:HmakesM;semRel:MhasH
Kreuzbandrekonstruktionen;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific;semRel:HmakesM;SemRel:HlocationisM
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific;semRel:HmakesM;semRel:HlocationisM
Kniegelenkchirurgie;_;Knie;gelenk;chirurgie;Knie;Gelenk;Chirurgie;AB;GER;scientific;semRel:MisH;semRel:HlocationisM
Periostlappenplastik;_;Periost;lappen;plastik;Periost;Lappen;Plastik;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Kreuzbandruptur;_;Kreuz;band;ruptur;Kreuz;Band;Ruptur;AB;GER;scientific;semRel:HmakesM;semRel:MhasH
Transplantatentnahmemorbidität;_;Transplantat;entnahme;morbidität;Transplantat;Entnahme;Morbidität;AB;GER;scientific;semRel:HlocationisM;semRel:MhasH
Scheibenwischereffekt;_;Scheiben;wischer;effekt;Scheibe;Wischer;Effekt;AB;GER;scientific;semRel:HforM;semRel:MhasH
Wirtschaftsstaatssekretär;_;Wirtschafts;staat;sekretär;Wirtschaft;Staat;Sekretär;BC;GER;general;semRel:MaboutH;semRel:MaboutH
Datenbankproblem;_;Daten;bank;problem;Datum;Bank;Problem;AB;GER;general;semRel:HhasM;semRel:MhasH
Kerngeschäftsfeldern;_;Kern;geschäfts;feldern;Kern;Geschäft;Feld;AB;GER;general;semRel:MaboutH;semRel:MhasH
Dienstleistungsgewerkschaft;_;Dienst;leistungs;gewerkschaft;Dienst;Leistung;Gewerkschaft;AB;GER;general;semRel:HforM;semRel:HforM
Arbeitnehmervertreter;_;Arbeit;nehmer;vertreter;Arbeit;Nehmer;Vertreter;AB;GER;general;semRel:MhasH;semRel:HforM
Kapitalanlagegesellschaften;_;Kapital;anlage;gesellschaften;Kapital;Anlage;Gesellschaft;AB;GER;general;semRel:HusesM;semRel:HmakesM
Strukturanpassungsprogramme;_;Struktur;anpassungs;programme;Struktur;Anpassung;Programm;AB;GER;general;semRel:HhasM;semRel:HforM
Weltökonomie-Institutionen;_;Welt;ökonomie;Institutionen;Welt;Ökonomie;Institution;AB;GER;general;semRel:HlocationisM;semRel:HaboutM
Bundesligavereine;_;Bundes;liga;vereine;Bund;Liga;Verein;AB;GER;general;semRel:HforM;semRel:MlocationisH
Kostenrechnungssystem;_;Kosten;rechnungs;system;Kosten;Rechnung;System;AB;GER;general;semRel:HusesM;semRel:HforM
Freizeitwinterangebot;_;Freizeit;winter;angebot;Freizeit;Winter;Angebot;BC;GER;general;semRel:MaboutH;semRel:HforM
Eissporthallen;_;Eis;sport;hallen;Eis;Sport;Halle;AB;GER;general;semRel:MaboutH;semRel:HforM
Eissporthalle;_;Eis;sport;halle;Eis;Sport;Halle;AB;GER;general;semRel:MaboutH;semRel:HforM
Kauf-Erlebniswelten;_;Kauf;Erlebnis;welten;Kauf;Erlebnis;Welt;AB;GER;general;semRel:HaboutM;semRel:MlocationisH
Hobby-Videokamera;_;Hobby;Video;kamera;Hobby;Video;Kamera;BC;GER;general;semRel:HforM;semRel:HforM
Tarif-Kriegsschauplatz;_;Tarif;Kriegs;schauplatz;Tarif;Krieg;Schauplatz;AB;GER;general;semRel:HusesM;semRel:MlocationisH
Wochenlohn-Patienten;_;Wochen;lohn;Patienten;Woche;Lohn;Patient;AB;GER;general;semRel:HforM;semRel:HhasM
Ehrenschutzbestimmungen;_;Ehren;schutz;bestimmung;Ehre;Schutz;Bestimmung;AB;GER;general;semRel:HforM;semRel:HaboutM
Lastwagenfabrik;_;Last;wagen;fabrik;Last;Wagen;Fabrik;AB;GER;general;semRel:HforM;semRel:HmakesM
Umweltbundesamts;_;Umwelt;bundes;amts;Umwelt;Bund;Amt;BC;GER;general;semRel:HforM;semRel:MaboutH
Weltmarktanteil;_;Welt;markt;anteil;Welt;Markt;Anteil;AB;GER;general;semRel:MaboutH;semRel:MhasH
Atomtestgegnern;_;Atom;test;gegnern;Atom;Test;Gegner;AB;GER;general;semRel:HusesM;semRel:HaboutM
Atomtestfrage;_;Atom;test;frage;Atom;Test;Frage;AB;GER;general;semRel:HusesM;semRel:HaboutM
Atombombenversuche;_;Atom;bomben;versuche;Atom;Bombe;Versuch;AB;GER;general;semRel:MaboutH;semRel:HusesM
Massenvernichtungswaffen;_;Massen;vernichtungs;waffen;Masse;Vernichtung;Waffe;AB;GER;general;semRel:MaboutH;semRel:MaboutH
Staatsschutzkommissariates;_;Staats;schutz;kommissariates;Staat;Schutz;Kommissariat;AB;GER;general;semRel:HaboutM;semRel:HforM
Reisegewerbekarte;_;Reise;gewerbe;karte;Reise;Gewerbe;Karte;AB;GER;general;semRel:MaboutH;semRel:HforM
Fußballclubbesitzer;_;Fußball;club;besitzer;Fußball;Club;Besitzer;AB;GER;general;semRel:MaboutH;semRel:HhasM
Positronenemissionstomographie;_;Positronen;emissions;tomographie;Positron;Emission;Tomographie;AB;GER;scientific;semRel:MhasH;semRel:HusesM
Testwiederholungseffekten;_;Test;wiederholungs;effekten;Test;Wiederholung;Effekte;AB;GER;scientific;semRel:HbyM;semRel:MhasH
Hirnsubstanzminderung;_;Hirn;substanz;minderung;Hirn;Substanz;Minderung;AB;GER;scientific;semRel:MhasH;semRel:HlocationisM
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific;semRel:HbyM;semRel:HusesM
Beinlängendifferenzen;_;Bein;längen;differenzen;Bein;Länge;Differenz;AB;GER;scientific;semRel=MhasH;semRel=HbyM
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific;semRel=HmakesM;semRel=HaboutM
Beinlängendifferenzen;_;Bein;längen;differenzen;Bein;Länge;Differenz;AB;GER;scientific;semRel=MhasH;semRel=HbyM
Nachbeobachtungszeitraum;_;Nachbeobachtungs;zeit;raum;Nachbeobachtung;Zeit;Raum;AB;GER;general;semRel=HforM;semRel=HhasM
Kreuzbandchirurgie;_;Kreuz;band;chirurgie;Kreuz;Band;Chirurgie;AB;GER;scientific;semRel=HmakesM;semRel=HforM
Transplantataustrittsstelle;_;Transplantat;austritts;stelle;Transplantat;Austritt;Stelle;BC;GER;scientific;semRel=HbyM;semRel=MlocationisH
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific;semRel=HmakesM;semRel=HmakesM
Kniegelenkbeschwerden;_;Knie;gelenk;beschwerden;Knie;Gelenk;Beschwerde;AB;GER;scientific;semRel=HisM;semRel=HlocationisM
Korbhenkelläsion;_;Korb;henkel;läsion;Korb;Henkel;Läsion;AB;GER;scientific;semRel=MhasH;semRel=HisM
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;BC;GER;scientific;semRel:HforM;semRel:HbyM
Zugfestigkeitsuntersuchungen;_;Zug;festigkeits;untersuchungen;Zug;Festigkeit;Untersuchung;AB;GER;scientific;semRel=HaboutM;semRel=HaboutM
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific;semRel=HbyM;semRel=HusesM
Fragebogenuntersuchung;_;Frage;bogen;untersuchung;Frage;Bogen;Untersuchung;AB;GER;scientific;semRel=HhasM;semRel=HusesM
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific;semRel=HmakesM;semRel=HlocationisM
Giftgasdose;_;Gift;gas;dose;Gift;Gas;Dose;AB;GER;general;semRel:HisM;semRel:HhasM
Bundesgeschäftsführer;_;Bundes;geschäfts;führer;Bund;Geschäft;Führer;BC;GER;general;semRel:MhasH;semRel:HforM
Umweltschutzpreis;_;Umwelt;schutz;preis;Umwelt;schutz;preis;AB;GER;general;semRel:HforM;semRel:HaboutM
Erdgasautos;_;Erd;gas;autos;Erde;Gas;Auto;AB;GER;general;semRel:HderivedfromM;semRel:HusesM
Kanzleramtschef;_;Kanzler;amts;chef;Kanzler;Amt;Chef;AB;GER;general;semRel:HforM;semRel:HforM
Bundesjugendministerin;_;Bundes;jugend;ministerin;Bund;Jugend;Ministerin;BC;GER;general;semRel:MhasH;semRel:HforM
Bundesgesundheitsminister;_;Bundes;gesundheits;minister;Bund;Gesundheit;Minister;BC;GER;general;semRel: MhasH;semRel:HforM
Notfallpatienten;_;Not;fall;patienten;Not;Fall;Patient;AB;GER;general;semRel:HaboutM;semRel:HhasM
Weltökonomie-Institutionen;_;Welt;ökonomie;Institutionen;Welt;Ökonomie;Institution;AB;GER;general;semRel:MhasH;semRel:HforM
Zonenrandförderung;_;Zonen;rand;förderung;Zone;Rand;Förderung;AB;GER;general;semRel:MhasH;semRel:HforM
Kirchturmspitze;_;Kirch;turm;spitze;Kirche;Turm;Spitze;AB;GER;general;semRel:MhasH;semRel:MhasH
Schiffahrtsmagnaten;_;Schiff;fahrts;magnaten;Schiff;Fahrt;Magnat;AB;GER;general;semRel:HbyM;semRel:HaboutM
Stadtautobahn;_;Stadt;auto;bahn;Stadt;Auto;Bahn;BC;GER;general;semRel:HlocationisM;semRel:HforM
Kriegsverbrechertribunals;_;Kriegs;verbrecher;tribunals;Krieg;Verbrecher;Tribunal;AB;GER;general;semRel:HaboutM;semRel:HforM
Atomkraftwerken;_;Atom;kraft;werken;Atom;Kraft;Werk;BC;GER;general;semRel:HusesM;semRel:HmakesM
Kohlekraftwerks;_;Kohle;kraft;werks;Kohle;Kraft;Werk;BC;GER;general;semRel:HusesM;semRel:HmakesM
Campingplatzparzellen;_;Camping;platz;parzellen;Camping;Platz;Parzelle;AB;GER;general;semRel:HforM;semRel:MhasH
Wohngeldstrukturnovelle;_;Wohngeld;struktur;novelle;Wohngeld;Struktur;Novelle;BC;GER;general;semRel:HaboutM;semRel:HaboutM
Surrogatmarkerbestimmung;_;Surrogat;marker;bestimmung;Surrogat;Marker;Bestimmung;AB;GER;scientific;semRel=HisM;semRel=HaboutM
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific;semRel=HbyM;semRel=HusesM
Hirnnervenbereich;_;Hirn;nerven;Bereich;Hirn;Nerv;Bereich;AB;GER;scientific;semRel=HlocationisM;semRel=MlocationisH
Hirnrindenentwicklung;_;Hirn;rinden;entwicklung;Hirn;Rinde;Entwicklung;AB;GER;scientific;semRel=MhasH;semRel=HbyM
Knochenmarktransplantation;_;Knochen;mark;transplantation;Knochen;Mark;Transplantation;AB;GER;scientific;semRel=HlocationisM;semRel=HaboutM
Wortfindungsstörungen;_;Wort;findungs;störungen;Wort;Findung;Störung;AB;GER;scientific;semRel=HaboutM;semRel=HaboutM
Hirnparenchymläsionen;_;Hirn;parenchym;läsionen;Hirn;Parenchym;Läsion;AB;GER;scientific;semRel=HlocationisM;semRel=HaboutM
Handschriftfläche;_;Hand;schrift;fläche;Hand;Schrift;Fläche;AB;GER;scientific;semRel=HbyM;semRel=HforM
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific;semRel=HbyM;semRel=HusesM
Notfallsituationen;_;Not;fall;situationen;Not;Fall;Situation;AB;GER;scientific;semRel=HaboutM;semRel=HaboutM
